ID,kdrama_name,actor,genre,platform,tags,network,episode
235,Discovery of Love,"['Jung Yu Mi', ' Eric Mun', ' Sung Joon', ' Yoon Jin Yi', ' Yoon Hyun Min', ' Kim Seul Gi']","['comedy', ' romance', ' drama']","['Viki', ' KBS Drama Classic', ' KBS World']","['love triangle', ' misunderstanding', ' second chance', ' childhood friends relationship', ' flashback to past', ' exboyfriend comes back', ' secret relationship', ' infidelity', ' friendship ']",['KBS'],16
236,Distorted,"['Namkoong Min', ' Yoo  Joon Sang', ' Uhm Ji Won', ' Jeon Hye Bin', ' Moon Sung Geun', ' Kim Kang Hyun']","['thriller', ' mystery', ' law']","['SBS World', ' Viki', ' Netflix']","['nice male lead', ' smart male lead', ' corruption', ' revenge', ' poor male lead', ' strong male lead', ' strong female lead', ' tragic past', ' lying', ' attempted murder ']",['SBS'],32
237,Divorce Lawyer in Love,"['Cho Yeo Jung', ' Yeon Woo Jin', ' Shim Hyung Tak', ' Wang Ji Won', ' Lee Yeol Eum', ' Hwang Young Hee']","['comedy', ' law', ' romance']","['SBS World', ' Viki']","['independent female lead', ' sassy female lead', ' cold female lead', ' workplace romance', ' enemies to lovers ']",['SBS'],18
238,Do Do Sol Sol La La Sol,"['Go Ah Ra', ' Lee Jae Wook', ' Kim Joo Heon', ' Ye Ji Won', ' Shin Eun Soo', ' Lee Soon Jae']","['music', ' comedy', ' romance', ' melodrama']",['Netflix'],"['nice male lead', ' riches to rags', ' male chases female first', ' nice female lead', ' hardworking male lead', ' classical music', ' optimistic female lead', ' hidden identity', ' energetic female lead', ' bright female lead ']","['KBS', ' Netflix']",16
239,Do You Like Brahms?,"['Park Eun Bin', ' Kim Min Jae', ' Park Ji Hyun', ' Kim Sung Cheol', ' Lee Yoo Jin', ' Bae Da Bin']","['music', ' romance', ' drama', ' melodrama']","['Viki', ' Netflix', ' SBS World']","['love triangle', ' classical music', ' friends to lovers', ' nice female lead', ' shy female lead', ' hardworking female lead', ' persevering female lead', ' perseverance', ' first love', ' nice male lead ']",['SBS'],16
240,Doctor Detective,"['Park Jin Hee', ' Bong Tae Kyu', ' Lee Ki Woo', ' Park Ji Young', ' Lee Young Jin', ' Ryu Hyun Kyung']","['thriller', ' mystery', ' drama', ' medical']","['Apple TV', ' Viki']","['exspouse relationship', ' doctor female lead', ' doctor male lead', ' teamwork', ' heir', ' corruption', ' eccentric male lead', ' strong female lead', ' based on true story', ' investigation ']",['SBS'],32
241,Doctor John,"['Ji Sung', ' Lee Se Young', ' Lee Kyu Hyung', ' Hwang Hee', ' Jung Min Ah', ' Kwon Hwa Woon']","['mystery', ' romance', ' life', ' medical']","['Viki', ' Apple TV']","['incurable disease', ' eccentric male lead', ' euthanasia', ' hardworking male lead', ' ptsd', ' secret', ' trauma', ' tragic past', ' studentteacher relationship', ' adapted from a novel ']",['SBS'],32
242,Doctor Lawyer,"['So Ji Sub', ' Shin Sung Rok', ' Im Soo Hyang', ' Lee Joo Bin', ' Lee Dong Ha', ' Lee Kyung Young']","['thriller', ' law', ' drama', ' medical']",['Disney Hotstar'],"['thoracic surgeon male lead', ' middleaged male lead', ' prosecutor female lead', ' lawyer male lead', ' genius male lead', ' corruption', ' ambassador supporting character', ' thoracic surgeon supporting character', ' investigator supporting character', ' excouple relationship ']",['MBC'],16
243,Doctor Prisoner,"['Namkoong Min', ' Kwon Na Ra', ' Kim Byung Chul', ' Choi Won Young', ' Lee Da In', ' Jin Hee Kyung']","['thriller', ' law', ' crime', ' medical']","['Viki', ' Apple TV']","['revenge', ' smart male lead', ' corruption', ' power struggle', ' scheme', ' lying', ' smart female lead', ' heir', ' strong female lead', ' deception ']",['KBS'],32
244,Doctor Stranger,"['Lee Jong Suk', ' Jin Se Yeon', ' Kang So Ra', ' Park Hae Jin', ' Chun Ho Jin', ' Lee Jae Won']","['thriller', ' romance', ' drama', ' medical']","['WeTV', ' Netflix', ' Apple TV', ' SBS World', ' Viki']","['nice male lead', ' scheme', ' hidden identity', ' kidnapping', ' second chance', ' north korean', ' unrequited love', ' fatherson relationship', ' character development', ' trauma ']",['SBS'],20
245,Dokgo Rewind,"['Oh Se Hun', ' Kang Mi Na', ' Cho Byeong Kyu', ' Ahn Bo Hyun', ' Shin Won Ho', ' Kim Hee Jin']","['action', ' crime', ' youth']",['Viki'],"['adapted from a webtoon', ' short length series', ' slight romance', ' street fight', ' school gang', ' gang', ' web series', ' student', ' school bullying', ' school ']","['Oksusu', ' Viki']",20
246,Don't Cry My Love,"['Lee Sang Yoon', ' Lee Yoo Ri', ' Lee Jung Jin', ' Oh Seung Hyun', ' Kim Hwan Hee', ' Lee Mi Young']","['romance', ' family']",['Viki'],"['single father', ' soap opera', ' fatherson relationship ']",['MBC'],132
247,Don't Dare to Dream,"['Jo Jung Suk', ' Gong Hyo Jin', ' Go Kyung Pyo', ' Lee Mi Sook', ' Park Ji Young', ' Moon Ga Young']","['comedy', ' romance']","['Viki', ' Netflix', ' SBS VOD']","['love triangle', ' steamy kiss', ' bromance', ' unrequited love', ' eccentric female lead', ' mean male lead', ' possessive male lead', ' aggressive male lead', ' multiple couples', ' workplace abuse ']",['SBS'],24
248,Don't Hesitate,"['Lee Sang Woo', ' Lee Tae Im', ' Kim Young Jae', ' Kim Hee Joon', ' Hong Yeo Jin', ' Bae Min Hee']","['romance', ' drama']",['Viki'],"['organ transplantation', ' soap opera', ' revenge', ' nice male lead ']",['SBS'],98
249,Don't Look Back: The Legend of Orpheus,"['Kim Nam Gil', ' Son Ye Jin', ' Ha Seok Jin', ' Lee Si Eon', ' Lee Jung Gil', ' Jung In Ki']","['thriller', ' romance', ' drama', ' melodrama']",['Viki'],"['suspense', ' childhood friends relationship', ' time skip', ' married couple', ' smart male lead', ' antihero', ' friends to lovers', ' revenge', ' tragic past', ' double identity ']",['KBS'],20
250,Doom at Your Service,"['Park Bo Young', ' Seo In Guk', ' Lee Soo Hyuk', ' Kang Tae Oh', ' Shin Do Hyun', ' Dawon']","['comedy', ' romance', ' drama', ' fantasy']","['Prime Video', ' Viki', ' TVING']","['terminal illness', ' illness', ' brain cancer', ' hardworking female lead', ' unlucky female lead', ' glioblastoma', ' first love', ' eccentric male lead', ' brothersister relationship', ' fate ']","['tvN', ' ViuTV']",16
251,White Christmas,"['Yoo Tae Woong', ' Hwang Soo Jung', ' Woo Hee Jin', ' Park Won Sook', ' Seo Hye Rin', ' Yoon Yoo Sun']",['drama'],['N/A'],['miniseries '],['SBS'],8
252,Dream,"['Kim Bum', ' Joo Jin Mo', ' Son Dam Bi', ' Lee Hoon', ' Lee Gi Young', ' Bae Jung Nam']","['romance', ' sports', ' melodrama']",['N/A'],"['childish male lead', ' greed', ' strong male lead', ' orphan male lead', ' mixed martial arts', ' rivalry', ' jealousy', ' blackmail', ' fatherdaughter relationship', ' revenge ']",['SBS'],20
253,Dream High,"['Kang So Ra', ' Jung Jin Woon', ' Park Ji Yeon', ' Jay B', ' Hyolyn', ' Park Seo Joon']","['music', ' comedy', ' romance']","['Viki', ' Netflix']","['high school', ' singer female lead', ' singer male lead', ' bickering couple', ' love square', ' youth', ' school', ' friendship ']",['KBS'],16
254,Dream High 2,"['Kang So Ra', ' Jung Jin Woon', ' Park Ji Yeon', ' Jay B', ' Hyolyn', ' Park Seo Joon']","['music', ' comedy', ' romance']","['Viki', ' Netflix']","['high school', ' singer female lead', ' singer male lead', ' bickering couple', ' love square', ' youth', ' school', ' friendship ']",['KBS'],16
255,Dream of the Emperor,"['Choi Soo Jong', ' Hong Eun Hee', ' Kim Yoo Suk', ' Lee Young Ah', ' Park Joo Mi', ' Kim Ha Kyun']","['historical', ' drama']",['N/A'],"['three kingdoms of korea', ' historical fiction', ' tang dynasty', ' swordfight', ' baekje dynasty', ' silla dynasty ']",['KBS'],70
256,Drinking Solo,"['Ha Seok Jin', ' Park Ha Sun', ' Hwang Woo Seul Hye', ' Gong Myung', ' Key', ' Kim Won Hae']","['food', ' comedy', ' romance']",['KDRAMA'],"['rich manpoor woman', ' older womanyounger man', ' love triangle', ' coworkers relationship', ' professor female lead', ' professor male lead', ' hardship', ' arrogant male lead', ' popular male lead', ' civil exam ']",['tvN'],16
257,Dr. Brain,"['Lee Sun Kyun', ' Lee Yoo Young', ' Park Hee Soon ', ' Seo Ji Hye', ' Lee Jae Won', ' Jo Bok Rae']","['thriller', ' mystery', ' scifi', ' medical']",['Apple TV'],"['detective fiction', ' doctor supporting character', ' missing child', ' genius male lead', ' unhappy marriage', ' gun violence', ' animal death', ' scientist', ' brain surgery', ' miniseries ']",[nan],6
258,Dr. Frost,"['Song Chang Eui', ' Jung Eun Chae', ' Lee Yoon Ji', ' Sung Ji Ru', ' Choi Jung Woo', ' Yoo Geon']","['mystery', ' psychological', ' drama', ' medical']",['N/A'],"['emotional blunting', ' eccentric male lead', ' adapted from a webtoon', ' disability', ' cold male lead', ' miniseries', ' investigation ']",['OCN'],10
