kdrama_name,Episodes,ID
Show Window: The Queen's House,16,921
Sh**ting Stars,16,922
Signal,16,923
Sin Don,61,924
Single Dad in Love,16,925
Sisters of the Sea,155,926
Sisyphus: The Myth,16,927
Six Flying Dragons,50,928
Sketch,16,929
Sky Castle,20,930
Smile Again,16,931
"Smile, Mom",50,932
Snow Flower,16,933
Snowdrop,16,934
So I Married the Anti-fan,16,935
So Not Worth It,12,936
Solomon's Perjury,12,937
Somebody,8,938
Someday,16,939
Something About 1%,16,940
Something About 1 Percent,16,941
Something About Us,0,942
Something Happened in Bali,0,943
Something in the Rain,16,944
Songgot: The Piercer,12,945
Soul Mechanic,32,946
Soundtrack 1,4,947
Special Affairs Team TEN,9,948
Special Labor Inspector,32,949
Splendid Politics,50,950
Sponsor,12,951
Spotlight,16,952
Spring Day,20,953
Spring Turns to Spring,32,954
Spy,16,955
Spy Myung-wol,18,956
Squad 38,16,957
Squid Game,9,958
Stained Glass,18,959
Standby,113,960
Star in My Heart,16,961
Stars Falling from the Sky,16,962
Start-Up,16,963
Star's Echo,2,964
Star's Lover,21,965
Steal Heart,50,966
Still 17,32,967
Still You,124,968
Stranger,16,969
Strong Girl Bong-soon,16,970
Strongest Deliveryman,16,971
Suits,16,972
Sunlight Pours Down,16,973
Sunny Again Tomorrow,121,974
Super Daddy Yeol,16,975
Super Rookie,16,976
Surgeon Bong Dal-hee,18,977
Suspicious Partner,40,978
Sweden Laundry,16,979
Sweet Buns,26,980
Sweet Enemy,124,981
Sweet Home,10,982
"Sweet Home, Sweet Honey",129,983
Sweet Munchies,12,984
Sweet Revenge,22,985
Sweet Revenge 2,32,986
Sweet Spy,20,987
Sweet Stranger and Me,16,988
"Sweet, Savage Family",16,989
Switch,32,990
Syndrome,20,991
Taejo Wang Geon,200,992
"Take Care of Us, Captain",20,993
Tale of Fairy,16,994
Tale of the Nine Tailed,16,995
Tasty Life,39,996
Taxi Driver,16,997
Tazza,21,998
Team Bulldog: Off-Duty Investigation,12,999
Tears of Heaven,25,1000
Tears of the Dragon,159,1001
Tell Me What You Saw,16,1002
Temperature of Love,40,1003
Temptation,20,1004
Temptation of Wife,129,1005
Tempted,32,1006
Terroir,20,1007
Thank You,16,1008
"That Winter, the Wind Blows",16,1009
The Accidental Narco,6,1010
The All-Round Wife,122,1011
The Banker,32,1012
The Beauty Inside,16,1013
The Birth of a Family,115,1014
The Blade and Petal,20,1015
The Bride of Habaek,16,1016
The Chaser,16,1017
The Clinic for Married Couples: Love and War,479,1018
The Cursed,12,1019
The Crowned Clown,16,1020
The Dawn of the Empire,94,1021
The Devil,12,1022
The Devil Judge,16,1023
The Doctors,20,1024
The Eldest,54,1025
The Emperor: Owner of the Mask,40,1026
The Empire of Law,16,1027
The End of the World,12,1028
The Family is Coming,20,1029
The Fiery Priest,40,1030
The Forbidden Marriage,12,1031
The Fugitive of Joseon,20,1032
The Game: Towards Zero,32,1033
The Gentlemen of Wolgyesu Tailor Shop,54,1034
The Ghost Detective,32,1035
The Good Detective,16,1036
The Good Wife,16,1037
"The Great King, Sejong",86,1038
The Great Merchant,30,1039
The Great Seer,35,1040
The Great Shaman Ga Doo-shim,12,1041
The Great Show,16,1042
The Greatest Love,16,1043
The Greatest Marriage,16,1044
The Guardians,32,1045
The Guest,16,1046
The Heirs,20,1047
The Hymn of Death,6,1048
The Idle Mermaid,10,1049
The Idolmaster KR,24,1050
The Innocent Man,20,1051
The Jingbirok: A Memoir of Imjin War,50,1052
The K2,16,1053
The Killer's Shopping List,8,1054
The King 2 Hearts,20,1055
The King and I,63,1056
The King and the Queen,186,1057
The King in Love,40,1058
The King of Chudong Palace,27,1059
The King of Dramas,18,1060
The King of Pigs,12,1061
"The King of Tears, Lee Bang-won",32,1062
The King: Eternal Monarch,16,1063
The King's Affection,20,1064
"The King's Daughter, Soo Baek-hyang",108,1065
The King's Doctor,50,1066
The King's Face,23,1067
The Lady in Dignity,20,1068
The Last Empress,52,1069
The Last Match,16,1070
The Law Cafe,16,1071
The Legend of the Blue Sea,20,1072
The Liar and His Lover,16,1073
The Lies Within,16,1074
The Light in Your Eyes,12,1075
The Lover,12,1076
The Man in the Mask,16,1077
The Master of Revenge,20,1078
The Merchant,90,1079
The Merchant: Gaekju 2015,41,1080
The Miracle,12,1081
The Miracle We Met,18,1082
The Most Beautiful Goodbye,4,1083
The Musical,15,1084
The Mysterious Class,8,1085
The Noblesse,114,1086
The One and Only,16,1087
The Package,12,1088
The Penthouse: War in Life,21,1089
The Police Station Next to the Fire Station,12,1090
The Princess' Man,24,1091
The Producers,12,1092
The Promise,102,1093
The Queen of Office,16,1094
The Queen's Classroom,16,1095
The Rebel,30,1096
